data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
01/02/2024;0.127 2.10 10 2;34;12;1;5;10;19;44;150;184;153;126;131;130;138;148;140;147;156;177;154;142;80;76;56;918;2;spira;1096;8750;61550;VIALE GIOVANNI VICINI;16683;16679;4000/343434;A;338;SE;195;11.328.173.238.949;444.948.641.751.239;44.4948641751239, 11.328173238949;28;Giovedì;a201
01/02/2024;0.127 2.18 10 2;4;2;1;3;3;9;17;19;32;48;54;50;63;39;47;65;70;63;56;56;62;32;11;12;941;2;spira;1148;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;N;251;113.094.985.934.965;444.988.573.896.583;44.4988573896583, 11.3094985934965;37;Giovedì;b20+19a
01/02/2024;0.127 2.19 6 1;97;37;18;23;45;64;197;675;707;592;516;547;490;533;570;538;577;588;555;529;391;190;235;197;174;1;spira;565;343;39600;VIA MONTEFIORINO;4614;4680;4000/343434;A;24;N;337;113.160.137.227.682;444.972.742.515.867;44.4972742515867, 11.3160137227682;38;Giovedì;a11
01/02/2024;0.127 2.20 2 1;84;35;20;20;15;44;83;387;475;368;320;386;374;368;454;367;545;525;531;452;358;182;173;180;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Giovedì;a181
01/02/2024;0.127 2.30 6 1;133;47;32;31;44;127;487;1015;1105;960;819;797;838;840;877;848;977;1183;1023;881;646;348;281;257;296;2;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;53;Giovedì;b4[1][1][0]
01/02/2024;0.127 2.31 6 1;20;12;4;7;6;18;48;162;190;215;217;208;204;179;218;188;196;106;61;42;25;12;14;17;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314.438.289.839;445.033.998.910.462;44.5033998910462, 11.314438289839;56;Giovedì;b31
01/02/2024;2.9 2.10 8 1;110;30;31;16;24;75;184;692;762;627;544;810;671;593;616;583;735;718;816;694;490;360;332;259;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Giovedì;a20001+87[1][0]
01/02/2024;2.10 1.11 4 1;72;42;14;17;18;34;117;377;602;461;412;359;306;312;325;330;370;340;366;349;275;177;171;129;262;1;spira;857;8713;30500;PIAZZA DI PORTA S.ISAIA;16678;56;4000/343434;A;338;E;256;11.328.674.717.615;44.494.620.361.561;44.494620361561, 11.328674717615;400;Giovedì;a134
01/02/2024;2.10 2.6 6 1;206;75;49;31;52;130;454;1330;1387;1329;1084;1149;1166;1284;1255;1193;1374;1495;1462;1442;1158;607;502;484;15;1;spira;96;947;44950;VIALE CARLO PEPOLI;16679;6028;4000/343434;A;338;SE;195;113.283.224.582.864;444.944.770.870.484;44.4944770870484, 11.3283224582864;402;Giovedì;a43[1]
01/02/2024;2.18 0.127 4 1;201;88;36;38;59;138;306;1230;1649;999;836;873;911;868;1109;1008;1323;1298;1380;1100;699;391;375;382;171;1;spira;562;2633;25430;VIALE M. KARAMCHAND GANDHI;4568;8763;4000/343434;A;25;O;70;113.087.294.098.062;444.991.747.026.869;44.4991747026869, 11.3087294098062;418;Giovedì;b2[1][1][1]b
